name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na–S–Na,1,115.36,115.36,nan,0.00,nan,nan
Na2S-glyme,Na–S–Na,1,113.71,113.71,nan,0.00,nan,nan
Na2S2,S–S–Na,4,64.38,64.38,0.02,0.02,0.01,0.50
Na2S2,Na–S–Na,2,111.94,111.94,0.01,0.01,0.01,nan
Na2S2,S–Na–S,2,51.23,51.23,0.01,0.00,0.00,nan
Na2S2-glyme,S–S–Na,4,65.77,65.77,0.09,0.08,0.04,0.14
Na2S2-glyme,Na–S–Na,2,113.89,113.89,0.14,0.10,0.10,nan
Na2S2-glyme,S–Na–S,2,48.46,48.46,0.01,0.01,0.01,nan
Na2S4,S–Na–S,6,72.46,78.03,22.32,20.37,9.11,-0.53
Na2S4,S–S–S,2,109.11,109.11,0.04,0.03,0.03,nan
Na2S4,Na–S–Na,2,81.90,81.90,0.06,0.04,0.04,nan
Na2S4,S–S–Na,8,76.80,76.71,10.05,9.40,3.55,0.00
Na2S4,S–Na–Na,6,53.42,49.38,6.77,6.18,2.77,0.96
Na2S4-PC,S–S–S,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-glyme,S–Na–S,6,68.65,73.11,21.25,19.40,8.68,-0.46
Na2S4-glyme,S–S–S,2,108.80,108.80,0.07,0.05,0.05,nan
Na2S4-glyme,Na–S–Na,2,83.48,83.48,0.15,0.10,0.10,nan
Na2S4-glyme,S–S–Na,8,78.74,79.05,11.00,10.29,3.89,-0.02
Na2S6,S–Na–S,6,86.80,81.13,14.38,13.13,5.87,0.78
Na2S6,S–S–S,2,111.17,111.17,0.03,0.02,0.02,nan
Na2S6,S–S–Na,6,83.34,78.84,8.93,8.15,3.64,0.90
Na2S6,Na–S–Na,2,97.77,97.77,0.06,0.04,0.04,nan
Na2S6-PC,S–S–S,2,115.15,115.15,0.00,0.00,0.00,nan
Na2S6-glyme,S–Na–S,2,70.56,70.56,0.09,0.07,0.07,nan
Na2S6-glyme,S–S–S,2,111.61,111.61,0.07,0.05,0.05,nan
Na2S6-glyme,S–S–Na,4,82.35,82.35,1.35,1.16,0.67,0.00
Na2S8,S–Na–S,2,115.13,115.13,12.39,8.76,8.76,nan
Na2S8,S–S–Na,4,96.40,86.19,24.78,21.46,12.39,1.91
Na2S8,S–S–S,2,114.39,114.39,2.51,1.77,1.77,nan
Na2S8,Na–S–Na,1,81.09,81.09,nan,0.00,nan,nan
Na2S8,S–Na–Na,4,65.12,53.31,26.44,22.90,13.22,1.89
Na2S8-PC,S–S–S,4,110.48,111.07,4.52,3.91,2.26,-0.23
Na2S8-glyme,S–S–S,6,111.18,111.38,3.73,3.40,1.52,-0.11
Na2S8-glyme,S–S–Na,4,102.70,100.83,16.96,14.69,8.48,0.46
Na2S8-glyme,Na–S–Na,2,82.02,82.02,1.17,0.83,0.83,nan
Na2S8-glyme,S–Na–S,2,95.74,95.74,1.49,1.05,1.05,nan
