name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S2-PC-vdw,Na2S2,,PC,-116.13303588005421,4.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.11678547312597,3.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.11641570225603,2.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.09032655192692,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.13569789448705,9.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.13569328591802,8.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.13565056334716,7.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw,Na2S2,,PC,-116.11357445539508,1.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]"
Na2S2-PC-vdw-elecmin,Na2S2,,PC,-116.13569817727223,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.961, 0.961]}]"
Na2S2-PC-vdw-elecmin,Na2S2,,PC,-116.13569810093435,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.961, 0.961]}]"
Na2S2-elecmin,Na2S2,,Vacuum,-115.92161553704018,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97303408658216,3.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97305624746338,6.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97303028147152,2.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97305904700715,7.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97306176474439,8.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97306268420473,9.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97306294921134,10.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97300533511964,1.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.973049255686,5.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.9730376845136,4.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-elecmin,Na2S2,,Glyme,-115.97076987480669,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.766, -0.766]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97437357939268,9.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97193634165905,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
