name,NaPS,solvent,energy,iteration,oxidation_states,electronic_scf
Na2S-glyme-vdw,Na2S,Glyme,-105.66006305322294,2.0,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]",True
Na2S-glyme-vdw,Na2S,Glyme,-105.66006064969184,1.0,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]",True
Na2S-glyme-vdw,Na2S,Glyme,-105.658999614323,0.0,"[{'Element': 'S', 'Oxidation States': [-1.413]}, {'Element': 'Na', 'Oxidation States': [0.818, 0.819]}]",True
Na2S-vdw,Na2S,Vacuum,-105.61577022639933,0.0,"[{'Element': 'S', 'Oxidation States': [-1.173]}, {'Element': 'Na', 'Oxidation States': [0.673, 0.673]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13569789448705,9.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13569328591802,8.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13565056334716,7.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.1355698422673,6.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13541365259063,5.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13303588005421,4.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.11678547312597,3.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.11641570225603,2.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.11357445539508,1.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.09032655192692,0.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.96, 0.96]}]",True
Na2S2-PC-vdw,Na2S2,PC,-116.13569817727223,1.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.961, 0.961]}]",False
Na2S2-PC-vdw,Na2S2,PC,-116.13569810093435,0.0,"[{'Element': 'S', 'Oxidation States': [-0.849, -0.849]}, {'Element': 'Na', 'Oxidation States': [0.961, 0.961]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.9743616369307,6.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.9743886489149,1.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97439097476347,2.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97439215953314,3.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97439294721329,4.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97439337829792,5.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97193634165905,0.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97429496607847,1.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97431954508434,2.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97432614397852,3.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97433985089509,4.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438843160282,0.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]",False
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97434958230207,5.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438766880111,16.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438744065735,15.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438594624701,14.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438458843831,13.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438353012184,12.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97437893499878,11.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97437638480292,10.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97437357939268,9.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.9743701349804,8.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97436696200528,7.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-glyme-vdw,Na2S2,Glyme,-115.97438846251998,17.0,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]",True
Na2S2-vdw,Na2S2,Vacuum,-115.92278271907915,1.0,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]",True
Na2S2-vdw,Na2S2,Vacuum,-115.92278202673343,0.0,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73092203687833,25.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.732305626393,44.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73228256619444,43.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73226647665822,42.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73218285233537,41.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73202949816172,40.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73194674430067,39.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73147335808926,38.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.74290865697952,37.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73127062113798,36.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73235280305047,46.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73086411472073,24.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7312180999808,34.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73118794198007,33.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73115658565843,32.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73112118295623,31.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73105583223855,30.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73103073655886,29.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73102667065322,28.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7309964485196,27.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73095974321353,26.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7312699058549,35.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7323696130096,47.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73283654825238,60.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73244646703725,49.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73081910628986,23.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73297371806615,71.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73297297493409,70.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73297291168603,69.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73296274071598,68.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73294888412642,67.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73293625994052,66.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73291681766446,65.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73290320879437,64.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73289575191893,63.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.732377894882,48.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73285743791905,62.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73282484774938,59.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7328136812013,58.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73280133197372,57.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.732712649627,56.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73263937506385,55.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7326078293627,54.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7325618232362,53.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73255315084822,52.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.7325094228177,51.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73250959681758,50.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
Na2S4-PC-vdw,Na2S4,PC,-136.73284411841163,61.0,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]",True
