name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S4-glyme-elecmin,Na2S4,,Na–S–Na,83.48,Glyme,False,False,2,83.48,0.15,0.10,0.10,nan
Na2S4-glyme-elecmin,Na2S4,,S–Na–S,68.65,Glyme,False,False,6,73.11,21.25,19.40,8.68,-0.46
Na2S4-glyme-vdw,Na2S4,,S–S–S,108.82,Glyme,True,True,2,108.82,0.10,0.07,0.07,nan
Na2S4-glyme-vdw,Na2S4,,Na–S–Na,84.77,Glyme,True,True,2,84.77,0.38,0.27,0.27,nan
Na2S4-glyme-vdw,Na2S4,,S–S–Na,78.98,Glyme,True,True,8,79.21,11.05,10.34,3.91,-0.03
Na2S4-glyme-vdw,Na2S4,,S–Na–S,67.91,Glyme,True,True,6,72.44,20.92,19.10,8.54,-0.47
Na2S4-glyme-vdw-elecmin,Na2S4,,S–Na–S,67.91,Glyme,False,True,6,72.44,20.93,19.10,8.54,-0.47
Na2S4-glyme-vdw-elecmin,Na2S4,,S–S–S,108.82,Glyme,False,True,2,108.82,0.10,0.07,0.07,nan
Na2S4-glyme-vdw-elecmin,Na2S4,,Na–S–Na,84.76,Glyme,False,True,2,84.76,0.38,0.27,0.27,nan
Na2S4-glyme-vdw-elecmin,Na2S4,,S–S–Na,78.98,Glyme,False,True,8,79.21,11.05,10.34,3.91,-0.03
Na2S4-vdw,Na2S4,,S–S–S,108.95,Vacuum,True,True,2,108.95,0.01,0.01,0.01,nan
Na2S4-vdw,Na2S4,,S–Na–S,71.93,Vacuum,True,True,6,77.42,22.08,20.15,9.01,-0.53
Na2S4-vdw,Na2S4,,S–S–Na,77.04,Vacuum,True,True,8,77.03,10.20,9.55,3.61,0.00
Na2S4-vdw,Na2S4,,Na–S–Na,82.48,Vacuum,True,True,2,82.48,0.01,0.01,0.01,nan
Na2S4-vdw-elecmin,Na2S4,,S–Na–S,71.93,Vacuum,False,True,6,77.42,22.08,20.15,9.01,-0.53
Na2S4-vdw-elecmin,Na2S4,,S–S–S,108.95,Vacuum,False,True,2,108.95,0.01,0.01,0.01,nan
Na2S4-vdw-elecmin,Na2S4,,Na–S–Na,82.48,Vacuum,False,True,2,82.48,0.01,0.01,0.01,nan
Na2S4-vdw-elecmin,Na2S4,,S–S–Na,77.04,Vacuum,False,True,8,77.03,10.20,9.55,3.61,0.00
Na2S6,Na2S6,,S–Na–S,86.80,Vacuum,True,False,6,81.13,14.38,13.13,5.87,0.78
Na2S6,Na2S6,,Na–S–Na,97.77,Vacuum,True,False,2,97.77,0.06,0.04,0.04,nan
Na2S6,Na2S6,,S–S–S,111.17,Vacuum,True,False,2,111.17,0.03,0.02,0.02,nan
Na2S6,Na2S6,,S–S–Na,83.34,Vacuum,True,False,6,78.84,8.93,8.15,3.64,0.90
Na2S6-PC,Na2S6,,S–S–S,115.63,PC,True,False,2,115.63,0.06,0.04,0.04,nan
Na2S6-PC-elecmin,Na2S6,,S–S–S,115.15,PC,False,False,2,115.15,0.00,0.00,0.00,nan
Na2S6-PC-vdw,Na2S6,,S–S–S,114.72,PC,True,True,2,114.72,0.00,0.00,0.00,nan
Na2S6-PC-vdw-elecmin,Na2S6,,S–S–S,113.08,PC,False,True,2,113.08,0.00,0.00,0.00,nan
