name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,Na–S–Na,Glyme,True,True,2,111.76,111.76,0.08,0.05,0.05,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–Na–S,Glyme,True,True,2,48.44,48.44,0.00,0.00,0.00,nan
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw,Na2S2,,S–S–Na,Glyme,True,True,4,65.78,65.78,0.05,0.04,0.02,-0.00
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,Glyme,False,True,2,48.30,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,Glyme,False,True,4,65.85,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,Glyme,False,True,2,112.15,112.15,0.24,0.17,0.17,nan
Na2S2-vdw,Na2S2,,S–S–Na,Vacuum,True,True,4,64.38,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw,Na2S2,,S–S–Na,Vacuum,True,True,4,64.38,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw,Na2S2,,Na–S–Na,Vacuum,True,True,2,111.91,111.91,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,,Na–S–Na,Vacuum,True,True,2,111.91,111.91,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,,S–Na–S,Vacuum,True,True,2,51.25,51.25,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,,S–Na–S,Vacuum,True,True,2,51.25,51.25,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–S–Na,Vacuum,False,True,4,64.38,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw-elecmin,Na2S2,,Na–S–Na,Vacuum,False,True,2,111.91,111.91,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–Na–S,Vacuum,False,True,2,51.25,51.25,0.00,0.00,0.00,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
