name,NaPS,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
NiS2-glyme-elecmin,NiS2,S–Ni–S,Glyme,False,False,239,103.24,93.58,32.56,32.49,2.11,1.92
NiS2-glyme-elecmin,NiS2,Ni–S–S,Glyme,False,False,59,104.56,104.56,0.00,0.00,0.00,-0.32
NiS2-glyme-elecmin,NiS2,Ni–S–Ni,Glyme,False,False,93,113.91,113.91,0.00,0.00,0.00,0.35
NiS2_S-PC-elecmin,NiS2_S,Ni–S–Ni,PC,False,False,93,113.91,113.91,0.00,0.00,0.00,0.35
NiS2_S-PC-elecmin,NiS2_S,Ni–S–S,PC,False,False,59,104.56,104.56,0.00,0.00,0.00,-0.32
NiS2_S-PC-elecmin,NiS2_S,S–Ni–S,PC,False,False,239,103.24,93.58,32.56,32.49,2.11,1.92
NiS2_S-elecmin,NiS2_S,Ni–S–Ni,Vacuum,False,False,93,113.91,113.91,0.00,0.00,0.00,0.35
NiS2_S-elecmin,NiS2_S,Ni–S–S,Vacuum,False,False,59,104.56,104.56,0.00,0.00,0.00,-0.32
NiS2_S-elecmin,NiS2_S,S–Ni–S,Vacuum,False,False,239,103.24,93.58,32.56,32.49,2.11,1.92
NiS2_S-glyme-elecmin,NiS2_S,Ni–S–S,Glyme,False,False,59,104.56,104.56,0.00,0.00,0.00,-0.32
NiS2_S-glyme-elecmin,NiS2_S,S–Ni–S,Glyme,False,False,239,103.24,93.58,32.56,32.49,2.11,1.92
NiS2_S-glyme-elecmin,NiS2_S,Ni–S–Ni,Glyme,False,False,93,113.91,113.91,0.00,0.00,0.00,0.35
TiO2,TiO2,Ti–O–Ti,Vacuum,True,False,25,130.54,130.54,0.00,0.00,0.00,-0.67
TiO2,TiO2,O–Ti–O,Vacuum,True,False,82,102.85,90.00,33.85,33.64,3.74,1.87
TiO2-PC-elecmin,TiO2,Ti–O–Ti,PC,False,False,25,130.54,130.54,0.00,0.00,0.00,-0.67
TiO2-PC-elecmin,TiO2,O–Ti–O,PC,False,False,82,102.85,90.00,33.85,33.64,3.74,1.87
TiO2-elecmin,TiO2,O–Ti–O,Vacuum,False,False,82,102.85,90.00,33.85,33.64,3.74,1.87
TiO2-elecmin,TiO2,Ti–O–Ti,Vacuum,False,False,25,130.54,130.54,0.00,0.00,0.00,-0.67
TiO2-glyme-elecmin,TiO2,Ti–O–Ti,Glyme,False,False,25,130.54,130.54,0.00,0.00,0.00,-0.67
TiO2-glyme-elecmin,TiO2,O–Ti–O,Glyme,False,False,82,102.85,90.00,33.85,33.64,3.74,1.87
graphene-PC-SCF,graphene,C–C–C,PC,True,False,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-PC-SCF-vdw,graphene,C–C–C,PC,True,True,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-PC-elecmin,graphene,C–C–C,PC,False,False,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-PC-elecmin-vdw,graphene,C–C–C,PC,False,True,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-SCF,graphene,C–C–C,Vacuum,True,False,170,120.01,120.01,0.08,0.08,0.01,-0.30
graphene-SCF-vdw,graphene,C–C–C,Vacuum,True,True,170,120.01,120.01,0.08,0.08,0.01,-0.30
graphene-elecmin,graphene,C–C–C,Vacuum,False,False,170,120.01,120.01,0.08,0.08,0.01,-0.30
graphene-elecmin-vdw,graphene,C–C–C,Vacuum,False,True,170,120.01,120.01,0.08,0.08,0.01,-0.30
graphene-glyme-SCF,graphene,C–C–C,Glyme,True,False,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-glyme-SCF-vdw,graphene,C–C–C,Glyme,True,True,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-glyme-elecmin,graphene,C–C–C,Glyme,False,False,170,120.00,120.00,0.00,0.00,0.00,-1.15
graphene-glyme-vdw-elecmin,graphene,C–C–C,Glyme,False,True,170,120.00,120.00,0.00,0.00,0.00,-1.15
