name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2-glyme-vdw-elecmin,Na2S2,,S–S–Na,65.85,Glyme,False,True,4,65.83,0.15,0.13,0.08,0.21
Na2S2-glyme-vdw-elecmin,Na2S2,,Na–S–Na,112.15,Glyme,False,True,2,112.15,0.24,0.17,0.17,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–S,48.30,Glyme,False,True,2,48.30,0.05,0.04,0.04,nan
Na2S2-glyme-vdw-elecmin,Na2S2,,S–Na–Na,33.93,Glyme,False,True,4,33.92,0.10,0.09,0.05,0.20
Na2S2-vdw,Na2S2,,S–Na–Na,34.04,Vacuum,True,True,4,34.04,0.00,0.00,0.00,0.52
Na2S2-vdw,Na2S2,,S–Na–S,51.25,Vacuum,True,True,2,51.25,0.00,0.00,0.00,nan
Na2S2-vdw,Na2S2,,S–S–Na,64.38,Vacuum,True,True,4,64.38,0.01,0.01,0.01,0.08
Na2S2-vdw,Na2S2,,Na–S–Na,111.91,Vacuum,True,True,2,111.91,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–Na–Na,34.04,Vacuum,False,True,4,34.04,0.00,0.00,0.00,0.52
Na2S2-vdw-elecmin,Na2S2,,S–Na–S,51.25,Vacuum,False,True,2,51.25,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,Na–S–Na,111.91,Vacuum,False,True,2,111.91,0.00,0.00,0.00,nan
Na2S2-vdw-elecmin,Na2S2,,S–S–Na,64.38,Vacuum,False,True,4,64.38,0.01,0.01,0.01,0.08
Na2S4,Na2S4,,S–S–S,109.11,Vacuum,True,False,2,109.11,0.04,0.03,0.03,nan
Na2S4,Na2S4,,S–Na–Na,51.76,Vacuum,True,False,8,49.03,6.50,6.08,2.30,1.33
Na2S4,Na2S4,,S–Na–S,60.62,Vacuum,True,False,12,56.65,21.94,21.01,6.33,0.41
Na2S4,Na2S4,,S–S–Na,69.43,Vacuum,True,False,12,67.40,13.52,12.94,3.90,0.27
Na2S4,Na2S4,,Na–S–Na,76.49,Vacuum,True,False,4,76.47,6.25,5.41,3.12,0.00
Na2S4-PC,Na2S4,,S–S–S,112.94,PC,True,False,2,112.94,0.05,0.03,0.03,nan
Na2S4-PC,Na2S4,,S–S–Na,102.26,PC,True,False,2,102.26,0.24,0.17,0.17,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,112.59,PC,False,False,2,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–Na–S,47.70,PC,False,False,6,49.37,16.08,14.68,6.57,-0.23
Na2S4-PC-elecmin,Na2S4,,Na–S–Na,92.80,PC,False,False,2,92.80,0.08,0.05,0.05,nan
Na2S4-PC-elecmin,Na2S4,,S–S–Na,87.25,PC,False,False,8,87.15,12.54,11.73,4.43,0.00
Na2S4-PC-vdw,Na2S4,,Na–S–Na,76.51,PC,True,True,2,76.51,0.06,0.04,0.04,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,113.36,PC,True,True,2,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–Na–S,53.20,PC,True,True,6,54.26,18.73,17.09,7.64,-0.13
Na2S4-PC-vdw,Na2S4,,S–S–Na,84.85,PC,True,True,8,85.69,11.96,11.19,4.23,-0.17
Na2S4-PC-vdw,Na2S4,,S–Na–Na,55.63,PC,True,True,6,51.98,6.03,5.50,2.46,0.97
Na2S4-PC-vdw-elecmin,Na2S4,,S–S–Na,84.99,PC,False,True,8,85.63,11.56,10.81,4.09,-0.08
Na2S4-PC-vdw-elecmin,Na2S4,,S–Na–Na,55.96,PC,False,True,6,52.30,5.78,5.27,2.36,0.97
