name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S,Na2S,,S–Na,Vacuum,True,False,2,2.4472,2.4472,0.0001,0.0000,0.0000,nan
Na2S-elecmin,Na2S,,S–Na,Vacuum,False,False,2,2.4472,2.4472,0.0001,0.0000,0.0000,nan
Na2S-glyme,Na2S,,S–Na,Glyme,True,False,2,2.5218,2.5218,0.0005,0.0004,0.0004,nan
Na2S-glyme-elecmin,Na2S,,S–Na,Glyme,False,False,2,2.5218,2.5218,0.0005,0.0004,0.0004,nan
Na2S-glyme-vdw,Na2S,,S–Na,Glyme,True,True,2,2.5236,2.5236,0.0004,0.0003,0.0003,nan
Na2S-glyme-vdw,Na2S,,S–Na,Glyme,True,True,2,2.5236,2.5236,0.0004,0.0003,0.0003,nan
Na2S-glyme-vdw,Na2S,,S–Na,Glyme,True,True,2,2.5236,2.5236,0.0004,0.0003,0.0003,nan
Na2S-glyme-vdw-elecmin,Na2S,,S–Na,Glyme,False,True,2,2.5236,2.5236,0.0004,0.0003,0.0003,nan
Na2S-vdw,Na2S,,S–Na,Vacuum,True,True,2,2.4472,2.4472,0.0001,0.0000,0.0000,nan
Na2S2,Na2S2,,S–Na,Vacuum,True,False,4,2.5683,2.5681,0.0004,0.0004,0.0002,1.5424
Na2S2,Na2S2,,S–S,Vacuum,True,False,1,2.2208,2.2208,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC,Na2S2,,S–S,PC,True,False,1,2.1616,2.1616,nan,0.0000,nan,nan
Na2S2-PC-elecmin,Na2S2,,S–S,PC,False,False,1,2.0780,2.0780,nan,0.0000,nan,nan
Na2S2-PC-elecmin,Na2S2,,S–S,PC,False,False,1,2.0780,2.0780,nan,0.0000,nan,nan
Na2S2-PC-elecmin,Na2S2,,S–S,PC,False,False,1,2.0780,2.0780,nan,0.0000,nan,nan
Na2S2-PC-elecmin,Na2S2,,S–S,PC,False,False,1,2.0780,2.0780,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
Na2S2-PC-vdw,Na2S2,,S–S,PC,True,True,1,2.1614,2.1614,nan,0.0000,nan,nan
