name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
NiS2-elecmin,,NiS2,S–S,Vacuum,False,False,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2-elecmin,,NiS2,Ni–Ni,Vacuum,False,False,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2-glyme-elecmin,,NiS2,Ni–Ni,Glyme,False,False,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2-glyme-elecmin,,NiS2,Ni–S,Glyme,False,False,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2-glyme-elecmin,,NiS2,S–S,Glyme,False,False,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2_S-PC-elecmin,,NiS2_S,Ni–Ni,PC,False,False,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S-PC-elecmin,,NiS2_S,Ni–S,PC,False,False,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S-PC-elecmin,,NiS2_S,S–S,PC,False,False,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2_S-elecmin,,NiS2_S,S–S,Vacuum,False,False,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
NiS2_S-elecmin,,NiS2_S,Ni–S,Vacuum,False,False,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S-elecmin,,NiS2_S,Ni–Ni,Vacuum,False,False,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S-glyme-elecmin,,NiS2_S,Ni–Ni,Glyme,False,False,110,4.0139,4.0139,0.0000,0.0000,0.0000,0.0000
NiS2_S-glyme-elecmin,,NiS2_S,Ni–S,Glyme,False,False,226,2.8504,2.3943,0.5619,0.5607,0.0374,0.4186
NiS2_S-glyme-elecmin,,NiS2_S,S–S,Glyme,False,False,169,3.1858,3.2785,0.3220,0.3210,0.0248,-3.2039
TiO2,,TiO2,Ti–Ti,Vacuum,True,False,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
TiO2,,TiO2,Ti–O,Vacuum,True,False,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-PC-elecmin,,TiO2,Ti–O,PC,False,False,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-PC-elecmin,,TiO2,Ti–Ti,PC,False,False,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
TiO2-elecmin,,TiO2,Ti–Ti,Vacuum,False,False,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
TiO2-elecmin,,TiO2,Ti–O,Vacuum,False,False,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-glyme-elecmin,,TiO2,Ti–O,Glyme,False,False,109,2.6348,1.9834,0.7586,0.7551,0.0727,0.2426
TiO2-glyme-elecmin,,TiO2,Ti–Ti,Glyme,False,False,49,4.0710,3.5692,0.5175,0.5122,0.0739,0.0421
graphene-PC-SCF,,graphene,C–C,PC,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-PC-SCF-vdw,,graphene,C–C,PC,True,True,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
