name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S2-vdw-elecmin,Na2S2,,S–S,2.2224,Vacuum,False,True,1,2.2224,nan,0.0000,nan,nan
Na2S4,Na2S4,,S–S,2.0994,Vacuum,True,False,3,2.0990,0.0013,0.0011,0.0008,1.3484
Na2S4,Na2S4,,Na–Na,3.5537,Vacuum,True,False,1,3.5537,nan,0.0000,nan,nan
Na2S4,Na2S4,,S–Na,2.8701,Vacuum,True,False,8,2.7314,0.2791,0.2610,0.0987,1.4269
Na2S4-PC,Na2S4,,S–S,2.0815,PC,True,False,3,2.0850,0.0065,0.0053,0.0038,-1.7207
Na2S4-PC,Na2S4,,S–Na,4.3332,PC,True,False,2,4.3332,0.0108,0.0076,0.0076,nan
Na2S4-PC-elecmin,Na2S4,,S–S,2.0820,PC,False,False,3,2.0849,0.0058,0.0047,0.0034,-1.6845
Na2S4-PC-elecmin,Na2S4,,S–Na,4.1556,PC,False,False,6,4.1672,0.0277,0.0253,0.0113,-0.8045
Na2S4-PC-vdw,Na2S4,,Na–Na,4.6341,PC,True,True,1,4.6341,nan,0.0000,nan,nan
Na2S4-PC-vdw,Na2S4,,S–Na,3.7915,PC,True,True,6,3.7544,0.0775,0.0708,0.0317,0.8863
Na2S4-PC-vdw,Na2S4,,S–S,2.0874,PC,True,True,3,2.0862,0.0114,0.0093,0.0066,0.4545
Na2S4-PC-vdw-elecmin,Na2S4,,S–S,2.0831,PC,False,True,3,2.0858,0.0058,0.0047,0.0033,-1.6529
Na2S4-PC-vdw-elecmin,Na2S4,,S–Na,3.8599,PC,False,True,6,3.8270,0.0572,0.0522,0.0234,0.9724
Na2S4-PC-vdw-elecmin,Na2S4,,Na–Na,4.6837,PC,False,True,1,4.6837,nan,0.0000,nan,nan
Na2S4-elecmin,Na2S4,,Na–Na,3.5537,Vacuum,False,False,1,3.5537,nan,0.0000,nan,nan
Na2S4-elecmin,Na2S4,,S–Na,2.8701,Vacuum,False,False,8,2.7314,0.2791,0.2610,0.0987,1.4269
Na2S4-elecmin,Na2S4,,S–S,2.0994,Vacuum,False,False,3,2.0990,0.0013,0.0011,0.0008,1.3484
Na2S4-glyme,Na2S4,,S–S,2.6142,Glyme,True,False,5,2.0922,0.7179,0.6421,0.3210,0.6086
Na2S4-glyme,Na2S4,,S–Na,3.0106,Glyme,True,False,8,2.8540,0.3070,0.2872,0.1086,1.4107
Na2S4-glyme,Na2S4,,Na–Na,3.7700,Glyme,True,False,1,3.7700,nan,0.0000,nan,nan
Na2S4-glyme-elecmin,Na2S4,,S–Na,3.0103,Glyme,False,False,8,2.8549,0.3077,0.2878,0.1088,1.4187
Na2S4-glyme-elecmin,Na2S4,,S–S,2.6142,Glyme,False,False,5,2.0918,0.7173,0.6416,0.3208,0.6086
Na2S4-glyme-elecmin,Na2S4,,Na–Na,3.7659,Glyme,False,False,1,3.7659,nan,0.0000,nan,nan
Na2S4-glyme-vdw,Na2S4,,Na–Na,3.8431,Glyme,True,True,1,3.8431,nan,0.0000,nan,nan
Na2S4-glyme-vdw,Na2S4,,S–Na,3.0355,Glyme,True,True,8,2.8803,0.3101,0.2901,0.1096,1.4140
Na2S4-glyme-vdw,Na2S4,,S–S,2.4186,Glyme,True,True,4,2.0921,0.6550,0.5673,0.3275,1.9999
Na2S4-glyme-vdw-elecmin,Na2S4,,Na–Na,3.8428,Glyme,False,True,1,3.8428,nan,0.0000,nan,nan
Na2S4-glyme-vdw-elecmin,Na2S4,,S–Na,3.0353,Glyme,False,True,8,2.8800,0.3101,0.2900,0.1096,1.4142
Na2S4-glyme-vdw-elecmin,Na2S4,,S–S,2.4186,Glyme,False,True,4,2.0922,0.6551,0.5673,0.3276,1.9999
Na2S4-vdw,Na2S4,,S–S,2.1004,Vacuum,True,True,3,2.0994,0.0018,0.0014,0.0010,1.7320
Na2S4-vdw,Na2S4,,S–Na,2.8870,Vacuum,True,True,8,2.7445,0.2842,0.2659,0.1005,1.4253
Na2S4-vdw,Na2S4,,Na–Na,3.5896,Vacuum,True,True,1,3.5896,nan,0.0000,nan,nan
Na2S4-vdw-elecmin,Na2S4,,S–Na,2.8870,Vacuum,False,True,8,2.7445,0.2842,0.2659,0.1005,1.4253
Na2S4-vdw-elecmin,Na2S4,,S–S,2.1004,Vacuum,False,True,3,2.0994,0.0018,0.0014,0.0010,1.7320
Na2S4-vdw-elecmin,Na2S4,,Na–Na,3.5896,Vacuum,False,True,1,3.5896,nan,0.0000,nan,nan
Na2S6,Na2S6,,S–Na,2.9735,Vacuum,True,False,10,2.7874,0.3338,0.3167,0.1056,1.2980
Na2S6,Na2S6,,S–S,2.4851,Vacuum,True,False,7,2.0314,0.6242,0.5779,0.2359,0.7289
Na2S6,Na2S6,,Na–Na,4.1837,Vacuum,True,False,1,4.1837,nan,0.0000,nan,nan
Na2S6-PC,Na2S6,,Na–Na,4.9892,PC,True,False,1,4.9892,nan,0.0000,nan,nan
Na2S6-PC,Na2S6,,S–Na,3.5149,PC,True,False,10,3.3706,0.3140,0.2979,0.0993,1.0232
Na2S6-PC,Na2S6,,S–S,2.5123,PC,True,False,7,2.0719,0.6668,0.6173,0.2520,0.6824
Na2S6-PC-elecmin,Na2S6,,S–Na,3.6034,PC,False,False,10,3.4374,0.3211,0.3046,0.1015,1.0544
Na2S6-PC-elecmin,Na2S6,,Na–Na,5.1436,PC,False,False,1,5.1436,nan,0.0000,nan,nan
Na2S6-PC-elecmin,Na2S6,,S–S,2.4674,PC,False,False,7,2.0169,0.6539,0.6053,0.2471,0.6064
Na2S6-PC-vdw,Na2S6,,Na–Na,5.1142,PC,True,True,1,5.1142,nan,0.0000,nan,nan
Na2S6-PC-vdw,Na2S6,,S–Na,3.6082,PC,True,True,10,3.4448,0.3315,0.3145,0.1048,1.0030
